Date,Last
4/9/2018,0.205344648
4/10/2018,0.197500994
4/11/2018,0.19952949
4/12/2018,0.212421359
4/13/2018,0.240543007
4/14/2018,0.244663752
4/15/2018,0.24902008
4/16/2018,0.289685589
4/17/2018,0.284408973
4/18/2018,0.299667293
4/19/2018,0.351972074
4/20/2018,0.366694581
4/21/2018,0.382700369
4/22/2018,0.374592957
4/23/2018,0.3667592
4/24/2018,0.37105659
4/25/2018,0.401238076
4/26/2018,0.338030285
4/27/2018,0.386589192
4/28/2018,0.390242069
4/29/2018,0.425299772
4/30/2018,0.454930287
5/1/2018,0.422860046
5/2/2018,0.436693259
5/3/2018,0.435963538
5/4/2018,0.44137218
5/5/2018,0.428400527
5/6/2018,0.429321898
5/7/2018,0.411235072
5/8/2018,0.395211895
5/9/2018,0.382238011
5/10/2018,0.375052916
5/11/2018,0.349027461
5/12/2018,0.313527339
5/13/2018,0.360587131
5/14/2018,0.375631889
5/15/2018,0.369692557
5/16/2018,0.345478553
5/17/2018,0.333739891
5/18/2018,0.310059603
5/19/2018,0.317402176
5/20/2018,0.31387931
5/21/2018,0.327202095
5/22/2018,0.3143928
5/23/2018,0.295427831
5/24/2018,0.277462203
5/25/2018,0.293212059
5/26/2018,0.287666103
5/27/2018,0.283018547
5/28/2018,0.273792382
5/29/2018,0.25031584
5/30/2018,0.283065084
5/31/2018,0.276094282
6/1/2018,0.295703341
6/2/2018,0.2885287
6/3/2018,0.295769165
6/4/2018,0.301138606
6/5/2018,0.290156691
6/6/2018,0.292274822
6/7/2018,0.29710662
6/8/2018,0.290657419
6/9/2018,0.28526932
6/10/2018,0.277636562
6/11/2018,0.245700377
6/12/2018,0.252278209
6/13/2018,0.230240646
6/14/2018,0.220434915
6/15/2018,0.241409479
6/16/2018,0.230750359
6/17/2018,0.229436381
6/18/2018,0.228140792
6/19/2018,0.23278399
6/20/2018,0.233966606
6/21/2018,0.230035885
6/22/2018,0.225990396
6/23/2018,0.200782944
6/24/2018,0.2022965
6/25/2018,0.193581885
6/26/2018,0.197494422
6/27/2018,0.183374802
6/28/2018,0.189479614
6/29/2018,0.177559232
6/30/2018,0.185660724
7/1/2018,0.19218297
7/2/2018,0.197123364
7/3/2018,0.212589676
7/4/2018,0.204946693
7/5/2018,0.208323587
