Date,Open,High,Low,Last,Vol,Diff,Hash,LS,LS_TH_S,LS_P,LS_MWh_TH,HS,HS_TH_S,HS_P,HS_MWh_TH,UK_EP,US_EP,AUS_EP,RU_EP
19/04/2012,5.17,5.18,5.06,5.13,288111.6243,1577913,12.23640675,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.481478,28.19,39.0783727,30.0426
20/04/2012,5.15,5.38,5.09,5.38,288111.6243,1577913,12.23640675,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.04172,28.45,45.4834287,29.5864
21/04/2012,5.4,5.43,5.19,5.24,336827.7813,1577913,11.53046021,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.04172,26.1,36.9784395,30.5039
22/04/2012,5.24,5.25,5.17,5.17,336827.7813,1577913,11.53046021,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.04172,27.02,30.5841321,25.7296
23/04/2012,5.2,5.25,5,5,279236.4544,1577913,11.60889871,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.74401,32,38.192742,30.6223
24/04/2012,4.99,5.15,4.98,5.08,279236.4544,1577913,11.60889871,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,72.867585,30.23,39.2272362,28.7717
25/04/2012,5.12,5.14,4.86,5.14,200350.7712,1577913,10.82451367,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,72.01953,30.3,33.4902678,32.3050
26/04/2012,5.1,5.12,4.86,4.94,200350.7712,1577913,10.82451367,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,71.48908,29.57,33.2158268,32.1367
27/04/2012,5.03,5.08,4.99,5.04,146562.9009,1508590,9.883251608,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.00575,29.38,35.8487128,31.6753
28/04/2012,5.07,5.07,4.85,4.91,146562.9009,1508590,9.883251608,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.00575,27.55,33.9226008,31.0098
29/04/2012,4.92,4.96,4.81,4.91,114752.7914,1508590,12.44873829,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.00575,23.64,33.0233996,30.1246
30/04/2012,4.92,5.02,4.87,5,114752.7914,1508590,12.44873829,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.256825,29.32,36.5075998,29.6457
01/05/2012,4.94,5.04,4.86,4.97,190801.28,1508590,13.42363949,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.191834,27.32,34.94799,30.5372
02/05/2012,5.01,5.15,5.01,5.06,190801.28,1508590,13.42363949,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.758385,30.06,32.0570992,29.7721
03/05/2012,5.06,5.13,5.05,5.1,204237.082,1508590,12.44873829,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.837125,32.37,33.0046444,30.7711
04/05/2012,5.1,5.15,5.07,5.07,204237.082,1508590,12.44873829,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.78839,29.78,31.3410624,30.3394
05/05/2012,5.09,5.11,5.04,5.04,124846.5456,1508590,11.6988143,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.78839,25.54,31.0805568,32.7602
06/05/2012,5.06,5.1,5.02,5.08,124846.5456,1508590,11.6988143,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.78839,22.17,29.0697792,32.5378
07/05/2012,5.05,5.08,4.97,5.05,253896.4932,1508590,12.82370029,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.78839,27.85,29.4730702,32.4524
08/05/2012,5.06,5.08,4.99,5.02,253896.4932,1508590,12.82370029,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,72.702,28.91,28.5758865,33.6727
09/05/2012,5.02,5.08,5.01,5.02,223343.82,1733208,14.12994691,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.68653,28.17,27.9179155,33.6727
10/05/2012,5.02,5.04,4.87,4.87,223343.82,1733208,14.12994691,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.90352,25.21,28.874718,31.7428
11/05/2012,4.97,4.97,4.87,4.95,347139.456,1733208,10.59746018,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.03815,25.57,26.0758522,30.9060
12/05/2012,4.95,4.97,4.91,4.91,347139.456,1733208,10.59746018,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.03815,23.82,26.4986118,30.0235
13/05/2012,4.95,4.95,4.94,4.94,80335.332,1733208,11.37288409,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.03815,23.43,24.8887192,27.5108
14/05/2012,4.93,4.99,4.88,4.93,80335.332,1733208,11.37288409,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.82315,26.89,29.6021316,29.5160
15/05/2012,4.95,5.01,4.9,4.95,270779.6055,1733208,11.28672588,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,59.1704,27.07,27.9758016,28.9346
